rate,datetime
56.11,11:52:03 02/11/2022
56.11,11:53:03 02/11/2022
56.11,11:54:03 02/11/2022
56.11,11:55:03 02/11/2022
56.11,11:56:03 02/11/2022
56.11,11:57:04 02/11/2022
56.11,11:58:03 02/11/2022
56.11,11:59:03 02/11/2022
56.11,12:00:05 02/11/2022
56.07,12:01:03 02/11/2022
56.07,12:02:04 02/11/2022
56.07,12:03:04 02/11/2022
56.07,12:04:04 02/11/2022
56.07,12:05:04 02/11/2022
56.07,12:06:04 02/11/2022
56.07,12:07:04 02/11/2022
56.07,12:08:04 02/11/2022
56.07,12:09:04 02/11/2022
56.07,12:10:03 02/11/2022
56.05,12:11:03 02/11/2022
56.05,12:12:03 02/11/2022
56.05,12:13:03 02/11/2022
56.05,12:14:04 02/11/2022
56.05,12:15:04 02/11/2022
56.05,12:16:03 02/11/2022
56.05,12:17:03 02/11/2022
56.05,12:18:03 02/11/2022
56.05,12:19:03 02/11/2022
56.03,12:20:03 02/11/2022
56.03,12:21:03 02/11/2022
56.03,12:22:03 02/11/2022
56.03,12:23:03 02/11/2022
56.03,12:24:03 02/11/2022
56.03,12:25:03 02/11/2022
56.03,12:26:03 02/11/2022
56.03,12:27:03 02/11/2022
56.03,12:28:03 02/11/2022
56.03,12:29:03 02/11/2022
56.03,12:30:05 02/11/2022
56.15,12:31:03 02/11/2022
56.15,12:32:03 02/11/2022
56.15,12:33:03 02/11/2022
56.15,12:34:03 02/11/2022
56.15,12:35:03 02/11/2022
56.15,12:36:03 02/11/2022
56.15,12:37:03 02/11/2022
56.15,12:38:03 02/11/2022
56.15,12:39:03 02/11/2022
56.15,12:40:03 02/11/2022
56.19,12:41:04 02/11/2022
56.19,12:42:03 02/11/2022
56.19,12:43:03 02/11/2022
56.19,12:44:03 02/11/2022
56.19,12:45:03 02/11/2022
56.19,12:46:03 02/11/2022
56.19,12:47:03 02/11/2022
56.19,12:48:03 02/11/2022
56.19,12:49:03 02/11/2022
56.19,12:50:03 02/11/2022
56.19,12:51:03 02/11/2022
56.19,12:52:03 02/11/2022
56.19,12:53:03 02/11/2022
56.19,12:54:03 02/11/2022
56.19,12:55:03 02/11/2022
56.19,12:56:03 02/11/2022
56.19,12:57:03 02/11/2022
56.19,12:58:04 02/11/2022
56.19,12:59:03 02/11/2022
56.19,13:00:05 02/11/2022
56.31,13:01:03 02/11/2022
56.31,13:02:03 02/11/2022
56.31,13:03:03 02/11/2022
56.31,13:04:03 02/11/2022
56.31,13:05:03 02/11/2022
56.31,13:06:03 02/11/2022
56.31,13:07:03 02/11/2022
56.31,13:08:03 02/11/2022
56.31,13:09:03 02/11/2022
56.29,13:10:03 02/11/2022
56.29,13:11:03 02/11/2022
56.29,13:12:03 02/11/2022
56.29,13:13:03 02/11/2022
56.29,13:14:03 02/11/2022
56.29,13:15:03 02/11/2022
56.29,13:16:03 02/11/2022
56.29,13:17:03 02/11/2022
56.29,13:18:03 02/11/2022
56.29,13:19:03 02/11/2022
56.12,13:20:04 02/11/2022
56.12,13:21:03 02/11/2022
56.12,13:22:03 02/11/2022
56.12,13:23:03 02/11/2022
56.12,13:24:03 02/11/2022
56.12,13:25:03 02/11/2022
56.12,13:26:03 02/11/2022
56.12,13:27:03 02/11/2022
56.12,13:28:03 02/11/2022
56.12,13:29:03 02/11/2022
56.01,13:31:04 02/11/2022
56.01,13:32:04 02/11/2022
56.01,13:33:03 02/11/2022
56.01,13:34:03 02/11/2022
56.01,13:35:03 02/11/2022
56.01,13:36:04 02/11/2022
56.01,13:37:03 02/11/2022
56.01,13:38:03 02/11/2022
56.01,13:39:03 02/11/2022
56.01,13:40:03 02/11/2022
55.94,13:41:03 02/11/2022
55.94,13:42:03 02/11/2022
55.94,13:43:03 02/11/2022
55.94,13:44:03 02/11/2022
55.94,13:45:03 02/11/2022
55.94,13:46:03 02/11/2022
55.94,13:47:03 02/11/2022
55.94,13:48:03 02/11/2022
55.94,13:49:03 02/11/2022
55.94,13:50:03 02/11/2022
55.93,13:51:03 02/11/2022
55.93,13:52:03 02/11/2022
55.93,13:53:03 02/11/2022
55.93,13:54:03 02/11/2022
55.93,13:55:03 02/11/2022
55.93,13:56:03 02/11/2022
55.93,13:57:03 02/11/2022
55.93,13:58:03 02/11/2022
55.93,13:59:03 02/11/2022
55.93,14:00:05 02/11/2022
55.87,14:01:03 02/11/2022
55.87,14:02:03 02/11/2022
55.87,14:03:03 02/11/2022
55.87,14:04:03 02/11/2022
55.87,14:05:03 02/11/2022
55.87,14:06:03 02/11/2022
55.87,14:07:03 02/11/2022
55.87,14:08:03 02/11/2022
55.87,14:09:04 02/11/2022
55.92,14:10:05 02/11/2022
55.92,14:11:03 02/11/2022
55.92,14:12:03 02/11/2022
55.92,14:13:03 02/11/2022
55.92,14:14:03 02/11/2022
55.92,14:15:03 02/11/2022
55.92,14:16:04 02/11/2022
55.92,14:17:04 02/11/2022
55.92,14:18:03 02/11/2022
55.92,14:19:03 02/11/2022
55.92,14:20:03 02/11/2022
55.94,14:21:03 02/11/2022
55.94,14:22:03 02/11/2022
55.94,14:23:03 02/11/2022
55.94,14:24:03 02/11/2022
55.94,14:25:03 02/11/2022
55.94,14:26:04 02/11/2022
55.94,14:27:04 02/11/2022
55.94,14:28:03 02/11/2022
55.94,14:29:03 02/11/2022
55.91,14:31:03 02/11/2022
55.91,14:32:03 02/11/2022
55.91,14:33:04 02/11/2022
55.91,14:34:04 02/11/2022
55.91,14:35:03 02/11/2022
55.91,14:36:03 02/11/2022
55.91,14:37:03 02/11/2022
55.91,14:38:03 02/11/2022
55.91,14:39:03 02/11/2022
55.92,14:40:04 02/11/2022
55.92,14:41:04 02/11/2022
55.92,14:42:04 02/11/2022
55.92,14:43:03 02/11/2022
55.92,14:44:03 02/11/2022
55.92,14:45:03 02/11/2022
55.92,14:46:03 02/11/2022
55.92,14:47:03 02/11/2022
55.92,14:48:03 02/11/2022
55.92,14:49:03 02/11/2022
55.92,14:50:03 02/11/2022
55.92,14:51:03 02/11/2022
55.92,14:52:03 02/11/2022
55.92,14:53:03 02/11/2022
55.92,14:54:03 02/11/2022
55.92,14:55:03 02/11/2022
55.92,14:56:03 02/11/2022
55.92,14:57:03 02/11/2022
55.92,14:58:03 02/11/2022
55.92,14:59:03 02/11/2022
55.88,15:00:05 02/11/2022
55.88,15:01:03 02/11/2022
55.88,15:02:03 02/11/2022
55.88,15:03:03 02/11/2022
55.88,15:04:03 02/11/2022
55.88,15:05:03 02/11/2022
55.88,15:06:03 02/11/2022
55.88,15:07:03 02/11/2022
55.88,15:08:04 02/11/2022
55.88,15:09:03 02/11/2022
55.88,15:10:04 02/11/2022
55.94,15:11:03 02/11/2022
55.94,15:12:03 02/11/2022
55.94,15:13:03 02/11/2022
55.94,15:14:03 02/11/2022
55.94,15:15:03 02/11/2022
55.94,15:16:03 02/11/2022
55.94,15:17:03 02/11/2022
55.94,15:18:03 02/11/2022
55.94,15:19:03 02/11/2022
55.94,15:20:04 02/11/2022
55.94,15:21:04 02/11/2022
55.94,15:22:03 02/11/2022
55.94,15:23:03 02/11/2022
55.94,15:24:03 02/11/2022
55.94,15:25:03 02/11/2022
55.94,15:26:03 02/11/2022
55.94,15:27:03 02/11/2022
55.94,15:28:03 02/11/2022
55.94,15:29:03 02/11/2022
55.94,15:30:05 02/11/2022
55.93,15:31:03 02/11/2022
55.93,15:32:04 02/11/2022
55.93,15:33:03 02/11/2022
55.93,15:34:03 02/11/2022
55.93,15:35:03 02/11/2022
55.93,15:36:03 02/11/2022
55.93,15:37:03 02/11/2022
55.93,15:38:03 02/11/2022
55.93,15:39:03 02/11/2022
55.93,15:40:03 02/11/2022
55.92,15:41:03 02/11/2022
55.92,15:42:03 02/11/2022
55.92,15:43:03 02/11/2022
55.92,15:44:03 02/11/2022
55.92,15:45:03 02/11/2022
55.92,15:46:03 02/11/2022
55.92,15:47:03 02/11/2022
55.92,15:48:03 02/11/2022
55.92,15:49:04 02/11/2022
55.92,15:50:04 02/11/2022
56.02,15:51:04 02/11/2022
56.02,15:52:03 02/11/2022
56.02,15:53:03 02/11/2022
56.02,15:54:03 02/11/2022
56.02,15:55:03 02/11/2022
56.02,15:56:03 02/11/2022
56.02,15:57:03 02/11/2022
56.02,15:58:03 02/11/2022
56.02,15:59:03 02/11/2022
56.02,16:00:05 02/11/2022
56.0,16:01:04 02/11/2022
56.0,16:02:04 02/11/2022
56.0,16:03:03 02/11/2022
56.0,16:04:03 02/11/2022
56.0,16:05:03 02/11/2022
56.0,16:06:03 02/11/2022
56.0,16:07:03 02/11/2022
56.0,16:08:03 02/11/2022
56.0,16:09:03 02/11/2022
56.0,16:10:03 02/11/2022
55.87,16:11:03 02/11/2022
55.87,16:12:03 02/11/2022
55.87,16:13:03 02/11/2022
55.87,16:14:03 02/11/2022
55.87,16:15:03 02/11/2022
55.87,16:16:03 02/11/2022
55.87,16:17:03 02/11/2022
55.87,16:18:03 02/11/2022
55.87,16:19:03 02/11/2022
55.87,16:20:04 02/11/2022
55.97,16:21:04 02/11/2022
55.97,16:22:03 02/11/2022
55.97,16:23:03 02/11/2022
55.97,16:24:03 02/11/2022
55.97,16:25:03 02/11/2022
55.97,16:26:03 02/11/2022
55.97,16:27:03 02/11/2022
55.97,16:28:03 02/11/2022
55.97,16:29:03 02/11/2022
55.97,16:30:05 02/11/2022
55.96,16:31:03 02/11/2022
55.96,16:32:03 02/11/2022
55.96,16:33:04 02/11/2022
55.96,16:34:04 02/11/2022
55.96,16:35:03 02/11/2022
55.96,16:36:03 02/11/2022
55.96,16:37:03 02/11/2022
55.96,16:38:03 02/11/2022
55.96,16:39:03 02/11/2022
55.9,16:40:03 02/11/2022
55.9,16:41:03 02/11/2022
55.9,16:42:03 02/11/2022
55.9,16:43:03 02/11/2022
55.9,16:44:03 02/11/2022
55.9,16:45:04 02/11/2022
55.9,16:46:03 02/11/2022
55.9,16:47:04 02/11/2022
55.9,16:48:03 02/11/2022
55.9,16:49:03 02/11/2022
55.9,16:50:03 02/11/2022
55.97,16:51:03 02/11/2022
55.97,16:52:03 02/11/2022
55.97,16:53:03 02/11/2022
55.97,16:54:03 02/11/2022
55.97,16:55:03 02/11/2022
55.97,16:56:04 02/11/2022
55.97,16:57:03 02/11/2022
55.97,16:58:03 02/11/2022
55.97,16:59:03 02/11/2022
55.97,17:00:04 02/11/2022
55.97,17:01:03 02/11/2022
55.97,17:02:03 02/11/2022
55.97,17:03:03 02/11/2022
55.97,17:04:03 02/11/2022
55.97,17:05:03 02/11/2022
55.97,17:06:03 02/11/2022
55.97,17:07:03 02/11/2022
55.97,17:08:03 02/11/2022
55.97,17:09:03 02/11/2022
55.97,17:10:04 02/11/2022
55.97,17:11:04 02/11/2022
55.97,17:12:03 02/11/2022
55.97,17:13:03 02/11/2022
55.97,17:14:03 02/11/2022
55.97,17:15:03 02/11/2022
55.97,17:16:03 02/11/2022
55.97,17:17:03 02/11/2022
55.97,17:18:03 02/11/2022
55.97,17:19:03 02/11/2022
55.97,17:20:03 02/11/2022
55.86,17:21:03 02/11/2022
55.86,17:22:04 02/11/2022
55.86,17:23:04 02/11/2022
55.86,17:24:03 02/11/2022
55.86,17:25:03 02/11/2022
55.86,17:26:03 02/11/2022
55.86,17:27:04 02/11/2022
55.86,17:28:03 02/11/2022
55.86,17:29:03 02/11/2022
55.86,17:30:04 02/11/2022
55.93,17:31:03 02/11/2022
55.93,17:32:04 02/11/2022
55.93,17:33:04 02/11/2022
55.93,17:34:04 02/11/2022
55.93,17:35:04 02/11/2022
55.93,17:36:03 02/11/2022
55.93,17:37:03 02/11/2022
55.93,17:38:04 02/11/2022
55.93,17:39:04 02/11/2022
55.93,17:40:03 02/11/2022
56.02,17:41:04 02/11/2022
56.02,17:42:03 02/11/2022
56.02,17:43:03 02/11/2022
56.02,17:44:03 02/11/2022
56.02,17:45:03 02/11/2022
56.02,17:46:03 02/11/2022
56.02,17:47:03 02/11/2022
56.02,17:48:04 02/11/2022
56.02,17:49:04 02/11/2022
56.02,17:50:04 02/11/2022
56.05,17:51:04 02/11/2022
56.05,17:52:03 02/11/2022
56.05,17:53:03 02/11/2022
56.05,17:54:03 02/11/2022
56.05,17:55:03 02/11/2022
56.05,17:56:03 02/11/2022
56.05,17:57:03 02/11/2022
56.05,17:58:03 02/11/2022
56.05,17:59:03 02/11/2022
56.05,18:00:05 02/11/2022
56.09,18:01:03 02/11/2022
56.09,18:02:03 02/11/2022
56.09,18:03:03 02/11/2022
56.09,18:04:03 02/11/2022
56.09,18:05:04 02/11/2022
56.09,18:06:04 02/11/2022
56.09,18:07:04 02/11/2022
56.09,18:08:03 02/11/2022
56.09,18:09:03 02/11/2022
56.09,18:10:03 02/11/2022
56.02,18:11:03 02/11/2022
56.02,18:12:03 02/11/2022
56.02,18:13:03 02/11/2022
56.02,18:14:03 02/11/2022
56.02,18:15:03 02/11/2022
56.02,18:16:04 02/11/2022
56.02,18:17:03 02/11/2022
56.02,18:18:04 02/11/2022
56.02,18:19:04 02/11/2022
56.02,18:20:04 02/11/2022
56.02,18:21:04 02/11/2022
56.02,18:22:03 02/11/2022
56.02,18:23:03 02/11/2022
56.02,18:24:03 02/11/2022
56.02,18:25:03 02/11/2022
56.02,18:26:03 02/11/2022
56.02,18:27:03 02/11/2022
56.02,18:28:03 02/11/2022
56.02,18:29:03 02/11/2022
56.05,18:30:04 02/11/2022
56.05,18:31:03 02/11/2022
56.05,18:32:04 02/11/2022
56.05,18:33:03 02/11/2022
56.05,18:34:03 02/11/2022
56.05,18:35:03 02/11/2022
56.05,18:36:03 02/11/2022
56.05,18:37:04 02/11/2022
56.05,18:38:03 02/11/2022
56.05,18:39:03 02/11/2022
56.05,18:40:03 02/11/2022
56.06,18:41:03 02/11/2022
56.06,18:42:03 02/11/2022
56.06,18:43:03 02/11/2022
56.06,18:44:03 02/11/2022
56.06,18:45:03 02/11/2022
56.06,18:46:03 02/11/2022
56.06,18:47:03 02/11/2022
56.06,18:48:04 02/11/2022
56.06,18:49:03 02/11/2022
54.82,18:51:03 02/11/2022
54.82,18:52:03 02/11/2022
54.82,18:53:03 02/11/2022
54.82,18:54:03 02/11/2022
54.82,18:55:03 02/11/2022
54.82,18:56:03 02/11/2022
54.82,18:57:03 02/11/2022
54.82,18:58:03 02/11/2022
54.82,18:59:04 02/11/2022
54.76,10:01:03 03/11/2022
56.16,10:02:04 03/11/2022
56.16,10:03:03 03/11/2022
56.16,10:04:03 03/11/2022
56.16,10:05:03 03/11/2022
56.16,10:06:03 03/11/2022
56.16,10:07:03 03/11/2022
56.16,10:08:03 03/11/2022
56.16,10:09:03 03/11/2022
56.16,10:10:03 03/11/2022
56.15,10:11:03 03/11/2022
56.15,10:12:03 03/11/2022
56.15,10:13:03 03/11/2022
56.15,10:14:03 03/11/2022
56.15,10:15:03 03/11/2022
56.15,10:16:03 03/11/2022
56.15,10:17:03 03/11/2022
56.15,10:18:03 03/11/2022
56.15,10:19:03 03/11/2022
55.97,10:20:03 03/11/2022
55.97,10:21:03 03/11/2022
55.97,10:22:03 03/11/2022
55.97,10:23:03 03/11/2022
55.97,10:24:03 03/11/2022
55.97,10:25:03 03/11/2022
55.97,10:26:03 03/11/2022
55.97,10:27:03 03/11/2022
55.97,10:28:03 03/11/2022
55.97,10:29:03 03/11/2022
55.92,10:30:05 03/11/2022
55.92,10:31:03 03/11/2022
55.92,10:32:03 03/11/2022
55.92,10:33:03 03/11/2022
55.92,10:34:03 03/11/2022
55.92,10:35:03 03/11/2022
55.92,10:36:03 03/11/2022
55.92,10:37:03 03/11/2022
55.92,10:38:03 03/11/2022
55.92,10:39:03 03/11/2022
55.89,10:40:03 03/11/2022
55.89,10:41:03 03/11/2022
55.89,10:42:03 03/11/2022
55.89,10:43:03 03/11/2022
55.89,10:44:03 03/11/2022
55.89,10:45:03 03/11/2022
55.89,10:46:03 03/11/2022
55.89,10:47:04 03/11/2022
55.89,10:48:04 03/11/2022
55.89,10:49:03 03/11/2022
55.96,10:50:04 03/11/2022
55.96,10:51:03 03/11/2022
55.96,10:52:04 03/11/2022
55.96,10:53:03 03/11/2022
55.96,10:54:03 03/11/2022
55.96,10:55:03 03/11/2022
55.96,10:56:03 03/11/2022
55.96,10:57:03 03/11/2022
55.96,10:58:03 03/11/2022
55.96,10:59:03 03/11/2022
55.96,11:00:05 03/11/2022
55.99,11:01:03 03/11/2022
55.99,11:02:03 03/11/2022
55.99,11:03:03 03/11/2022
55.99,11:04:03 03/11/2022
55.99,11:05:03 03/11/2022
55.99,11:06:03 03/11/2022
55.99,11:07:03 03/11/2022
55.99,11:08:03 03/11/2022
55.99,11:09:03 03/11/2022
55.99,11:10:03 03/11/2022
55.86,11:11:04 03/11/2022
55.86,11:12:03 03/11/2022
55.86,11:13:03 03/11/2022
55.86,11:14:03 03/11/2022
55.86,11:15:04 03/11/2022
55.86,11:16:04 03/11/2022
55.86,11:17:03 03/11/2022
55.86,11:18:03 03/11/2022
55.86,11:19:04 03/11/2022
55.86,11:20:04 03/11/2022
55.93,11:21:03 03/11/2022
55.93,11:22:03 03/11/2022
55.93,11:23:03 03/11/2022
55.93,11:24:03 03/11/2022
55.93,11:25:03 03/11/2022
55.93,11:26:04 03/11/2022
55.93,11:27:03 03/11/2022
55.93,11:28:03 03/11/2022
55.93,11:29:03 03/11/2022
55.93,11:30:04 03/11/2022
55.91,11:31:04 03/11/2022
55.91,11:32:03 03/11/2022
55.91,11:33:03 03/11/2022
55.91,11:34:03 03/11/2022
55.91,11:35:03 03/11/2022
55.91,11:36:03 03/11/2022
55.91,11:37:03 03/11/2022
55.91,11:38:03 03/11/2022
55.91,11:39:03 03/11/2022
55.91,11:40:03 03/11/2022
55.81,11:41:03 03/11/2022
55.81,11:42:03 03/11/2022
55.81,11:43:03 03/11/2022
55.81,11:44:03 03/11/2022
55.81,11:45:03 03/11/2022
55.81,11:46:03 03/11/2022
55.81,11:47:03 03/11/2022
55.81,11:48:03 03/11/2022
55.81,11:49:03 03/11/2022
55.81,11:50:03 03/11/2022
55.84,11:51:04 03/11/2022
55.84,11:52:03 03/11/2022
55.84,11:53:03 03/11/2022
55.84,11:54:03 03/11/2022
55.84,11:55:04 03/11/2022
55.84,11:56:04 03/11/2022
55.84,11:57:03 03/11/2022
55.84,11:58:03 03/11/2022
55.84,11:59:04 03/11/2022
55.84,12:00:05 03/11/2022
55.86,12:01:03 03/11/2022
55.86,12:02:03 03/11/2022
55.86,12:03:03 03/11/2022
55.86,12:04:03 03/11/2022
55.86,12:05:03 03/11/2022
55.86,12:06:04 03/11/2022
55.86,12:07:04 03/11/2022
55.86,12:08:04 03/11/2022
55.86,12:09:05 03/11/2022
55.86,12:10:07 03/11/2022
55.86,12:11:03 03/11/2022
55.86,12:12:03 03/11/2022
55.86,12:13:03 03/11/2022
55.86,12:14:04 03/11/2022
55.86,12:15:03 03/11/2022
55.86,12:16:04 03/11/2022
55.86,12:17:05 03/11/2022
55.86,12:18:03 03/11/2022
55.86,12:19:03 03/11/2022
55.86,12:20:06 03/11/2022
55.88,12:21:03 03/11/2022
55.88,12:22:03 03/11/2022
55.88,12:23:04 03/11/2022
55.88,12:24:03 03/11/2022
55.88,12:25:05 03/11/2022
55.88,12:26:03 03/11/2022
55.88,12:27:04 03/11/2022
55.88,12:28:03 03/11/2022
55.88,12:29:04 03/11/2022
55.88,12:30:05 03/11/2022
55.78,12:31:03 03/11/2022
55.78,12:32:03 03/11/2022
55.78,12:33:04 03/11/2022
55.78,12:34:04 03/11/2022
55.78,12:35:04 03/11/2022
55.78,12:36:03 03/11/2022
55.78,12:37:08 03/11/2022
55.78,12:38:04 03/11/2022
55.78,12:39:04 03/11/2022
55.78,12:40:03 03/11/2022
55.82,12:41:04 03/11/2022
55.82,12:42:04 03/11/2022
55.82,12:43:03 03/11/2022
55.82,12:44:03 03/11/2022
55.82,12:45:04 03/11/2022
55.82,12:46:04 03/11/2022
55.82,12:47:03 03/11/2022
55.82,12:48:03 03/11/2022
55.82,12:49:04 03/11/2022
55.82,12:50:06 03/11/2022
55.81,12:51:04 03/11/2022
55.81,12:52:04 03/11/2022
55.81,12:53:03 03/11/2022
55.81,12:54:03 03/11/2022
55.81,12:55:03 03/11/2022
55.81,12:56:03 03/11/2022
55.81,12:57:03 03/11/2022
55.81,12:58:03 03/11/2022
55.81,12:59:04 03/11/2022
55.81,13:00:05 03/11/2022
55.81,13:01:04 03/11/2022
55.81,13:02:03 03/11/2022
55.81,13:03:03 03/11/2022
55.81,13:04:05 03/11/2022
55.81,13:05:03 03/11/2022
55.81,13:06:04 03/11/2022
55.81,13:07:04 03/11/2022
55.81,13:08:03 03/11/2022
55.81,13:09:03 03/11/2022
55.73,13:10:04 03/11/2022
55.73,13:11:03 03/11/2022
55.73,13:12:03 03/11/2022
55.73,13:13:03 03/11/2022
55.73,13:14:04 03/11/2022
55.73,13:15:03 03/11/2022
55.73,13:16:04 03/11/2022
55.73,13:17:03 03/11/2022
55.73,13:18:04 03/11/2022
55.73,13:19:03 03/11/2022
55.73,13:20:04 03/11/2022
55.61,13:21:03 03/11/2022
55.61,13:22:03 03/11/2022
55.61,13:23:04 03/11/2022
55.61,13:24:03 03/11/2022
55.61,13:25:03 03/11/2022
55.61,13:26:03 03/11/2022
55.61,13:27:03 03/11/2022
55.61,13:28:03 03/11/2022
55.61,13:29:03 03/11/2022
55.61,13:30:05 03/11/2022
55.59,13:31:04 03/11/2022
55.59,13:32:04 03/11/2022
55.59,13:33:03 03/11/2022
55.59,13:34:03 03/11/2022
55.59,13:35:03 03/11/2022
55.59,13:36:03 03/11/2022
55.59,13:37:03 03/11/2022
55.59,13:38:03 03/11/2022
55.59,13:39:03 03/11/2022
55.6,13:40:04 03/11/2022
55.6,13:41:03 03/11/2022
55.6,13:42:03 03/11/2022
55.6,13:43:03 03/11/2022
55.6,13:44:03 03/11/2022
55.6,13:45:04 03/11/2022
55.6,13:46:03 03/11/2022
55.6,13:47:03 03/11/2022
55.6,13:48:03 03/11/2022
55.6,13:49:03 03/11/2022
55.58,13:50:04 03/11/2022
55.58,13:51:03 03/11/2022
55.58,13:52:03 03/11/2022
55.58,13:53:03 03/11/2022
55.58,13:54:03 03/11/2022
55.58,13:55:03 03/11/2022
55.58,13:56:03 03/11/2022
55.58,13:57:03 03/11/2022
55.58,13:58:03 03/11/2022
55.58,13:59:03 03/11/2022
55.58,14:00:05 03/11/2022
55.53,14:01:03 03/11/2022
55.53,14:02:04 03/11/2022
55.53,14:03:04 03/11/2022
55.53,14:04:05 03/11/2022
55.53,14:05:04 03/11/2022
55.53,14:06:04 03/11/2022
55.53,14:07:04 03/11/2022
55.53,14:08:04 03/11/2022
55.53,14:09:04 03/11/2022
55.53,14:10:04 03/11/2022
55.48,14:11:03 03/11/2022
55.48,14:12:03 03/11/2022
55.48,14:13:03 03/11/2022
55.48,14:14:03 03/11/2022
55.48,14:15:03 03/11/2022
55.48,14:16:04 03/11/2022
55.48,14:17:03 03/11/2022
55.48,14:18:03 03/11/2022
55.48,14:19:03 03/11/2022
55.48,14:20:03 03/11/2022
55.47,14:21:04 03/11/2022
55.47,14:22:04 03/11/2022
55.47,14:23:04 03/11/2022
55.47,14:24:03 03/11/2022
55.47,14:25:03 03/11/2022
55.47,14:26:04 03/11/2022
55.47,14:27:03 03/11/2022
55.47,14:28:03 03/11/2022
55.47,14:29:03 03/11/2022
55.47,14:30:05 03/11/2022
55.47,14:31:04 03/11/2022
55.47,14:32:04 03/11/2022
55.47,14:33:04 03/11/2022
55.47,14:34:03 03/11/2022
55.47,14:35:03 03/11/2022
55.47,14:36:03 03/11/2022
55.47,14:37:03 03/11/2022
55.47,14:38:04 03/11/2022
55.47,14:39:03 03/11/2022
55.47,14:40:04 03/11/2022
55.42,14:41:03 03/11/2022
55.42,14:42:03 03/11/2022
55.42,14:43:03 03/11/2022
55.42,14:44:03 03/11/2022
55.42,14:45:04 03/11/2022
